municipio,codigo_ibge,taxa_100k_22,taxa_100k_23,taxa_100k_24,populacao_22,populacao_23,populacao_24
orlandia,3534302,1106.5,1530.09,1518.13,38319,38756.0,39193
osasco,3534401,2732.31,2820.2,2473.47,728615,742784.0,756952
oscar bressane,3534500,1376.52,1085.65,758.79,2470,2487.0,2504
osvaldo cruz,3534609,1643.64,1912.52,1763.29,31272,31686.0,32099
ourinhos,3534708,2240.07,2306.88,2237.15,103970,105424.0,106877
ouro verde,3534807,1208.38,1377.55,1164.41,7779,7840.0,7901
ouroeste,3534757,1729.16,1570.13,1708.19,10294,10445.0,10596
pacaembu,3534906,1135.98,1694.69,1498.32,14877,15047.0,15217
palestina,3535002,1202.51,1364.07,1026.61,11476,11583.0,11689
palmares paulista,3535101,1378.24,1342.98,1380.16,9650,9680.0,9709
palmeira doeste,3535200,1943.17,1452.68,1434.29,8903,8949.0,8994
palmital,3535309,2169.03,2337.28,2246.17,19594,19681.0,19767
panorama,3535408,1978.08,2061.1,1728.67,14964,15089.0,15214
paraguacu paulista,3535507,1575.88,1711.37,1501.65,41120,41604.0,42087
paraibuna,3535606,1466.01,1718.23,1699.16,17667,17809.0,17950
paraiso,3535705,1360.88,942.32,837.22,6099,6155.0,6211
paranapanema,3535804,1268.37,1296.12,1252.59,19395,19597.0,19799
paranapua,3535903,2331.93,2210.76,2432.5,4031,4071.0,4111
parapua,3536000,1786.39,1708.12,1183.71,10580,10655.0,10729
pardinho,3536109,1887.32,1802.42,1733.95,7153,7268.0,7382
pariqueraacu,3536208,1414.24,1520.23,1680.63,19233,19405.0,19576
parisi,3536257,1867.22,1934.17,2265.91,2892,2947.0,3001
patrocinio paulista,3536307,1977.67,2057.92,1934.35,14512,14675.0,14837
pauliceia,3536406,1081.08,1089.38,1170.73,7955,8078.0,8200
paulinia,3536505,2215.55,2155.35,2015.73,110537,113114.0,115690
paulistania,3536570,1626.79,944.29,1351.35,2090,2118.0,2146
paulo de faria,3536604,1081.08,1132.84,1157.47,7400,7415.0,7430
pederneiras,3536703,2025.56,1853.93,1951.41,44827,45525.0,46223
pedra bela,3536802,1052.31,828.56,997.32,6557,6638.0,6718
pedranopolis,3536901,1255.83,709.72,1158.71,2787,2818.0,2848
pedregulho,3537008,1764.9,2027.63,2242.41,15525,15634.0,15742
pedreira,3537107,1273.43,1289.97,1285.75,43112,43722.0,44332
pedrinhas paulista,3537156,677.6,602.62,845.67,2804,2821.0,2838
pedro de toledo,3537206,1959.05,1665.21,1759.25,11281,11410.0,11539
penapolis,3537305,2396.28,2230.47,1922.07,61679,62498.0,63317
pereira barreto,3537404,1780.45,1683.03,1767.19,24095,24242.0,24389
pereiras,3537503,1465.03,1310.29,1382.54,8737,8853.0,8969
peruibe,3537602,4365.64,4129.71,5178.4,68352,69448.0,70543
piacatu,3537701,942.2,1005.21,1138.18,5519,5571.0,5623
piedade,3537800,1219.56,1290.95,1202.13,52970,53604.0,54237
pilar do sul,3537909,1140.52,1409.81,1126.09,27619,28018.0,28417
pindamonhangaba,3538006,1510.63,1555.76,1448.03,165428,168728.0,172027
pindorama,3538105,1526.61,1332.7,1399.36,14542,14632.0,14721
pinhalzinho,3538204,1162.64,1368.8,1570.01,15224,15415.0,15605
piquerobi,3538303,919.12,975.61,1061.89,3264,3280.0,3296
piquete,3538501,1481.18,1388.67,1344.47,12490,12530.0,12570
piracaia,3538600,1452.23,1420.62,1236.74,26029,26397.0,26764
piracicaba,3538709,1814.22,1849.56,1842.64,423323,431075.0,438827
piraju,3538808,1470.99,1517.64,1685.34,29436,29849.0,30261
pirajui,3538907,1212.61,1456.59,1868.71,22431,22587.0,22743
pirangi,3539004,1451.54,1420.64,1291.08,10885,10981.0,11076
pirapora do bom jesus,3539103,1257.49,1596.52,1401.57,18370,18603.0,18836
pirapozinho,3539202,1357.11,1447.08,1599.85,25348,25707.0,26065
pirassununga,3539301,1524.24,1870.89,1631.0,73545,74510.0,75475
piratininga,3539400,1542.23,1963.34,1716.6,15108,15331.0,15554
pitangueiras,3539509,1449.19,1815.24,1447.0,33674,34045.0,34416
planalto,3539608,1480.98,1492.54,1661.43,4389,4422.0,4454
platina,3539707,1752.07,1215.91,1796.8,3025,3043.0,3061
poa,3539806,2954.75,2843.06,2810.27,103765,105098.0,106431
poloni,3539905,1502.15,1771.79,1386.94,5592,5644.0,5696
pompeia,3540002,1010.1,1130.0,1135.92,20196,20354.0,20512
pongai,3540101,1914.58,1696.4,1684.58,3395,3419.0,3443
pontal,3540200,1281.68,1387.13,1422.76,37607,37992.0,38376
pontalinda,3540259,1817.3,1753.96,1596.76,4127,4162.0,4196
pontes gestal,3540309,963.55,1416.08,1697.72,2387,2401.0,2415
populina,3540408,1429.61,1106.83,1266.43,4127,4156.0,4185
porangaba,3540507,1837.14,1394.65,1522.32,10451,10612.0,10773
porto feliz,3540606,1196.52,1666.64,1420.86,56497,57421.0,58345
porto ferreira,3540705,1620.16,1782.53,1983.69,52649,53295.0,53940
potim,3540754,1304.43,1666.67,1776.86,20392,20580.0,20767
potirendaba,3540804,1924.74,1675.11,1690.01,18496,18745.0,18994
pracinha,3540853,775.8,849.75,961.91,2578,2589.0,2599
pradopolis,3540903,1516.57,1459.81,1334.57,17078,17194.0,17309
praia grande,3541000,3432.64,3809.02,3604.71,349935,357756.0,365577
pratania,3541059,2106.91,2082.53,1639.34,5126,5186.0,5246
presidente alves,3541109,998.95,1334.03,1197.6,3804,3823.0,3841
presidente bernardes,3541208,759.14,1059.39,913.89,14490,14631.0,14772
presidente epitacio,3541307,1890.9,2260.66,2151.9,39505,39944.0,40383
presidente prudente,3541406,2165.57,2083.3,2074.05,225668,229876.0,234083
presidente venceslau,3541505,1553.93,1575.16,1565.37,35201,35552.0,35902
promissao,3541604,1821.75,1690.05,1653.19,35131,35561.0,35991
quadra,3541653,1350.95,1424.83,1555.3,3405,3439.0,3472
quata,3541703,1344.68,1129.43,1358.31,13163,13281.0,13399
queiroz,3541802,1500.77,1813.78,1671.14,3265,3308.0,3351
queluz,3541901,2423.85,2556.54,2011.81,9159,9153.0,9146
quintana,3542008,909.35,1065.62,678.2,7038,7132.0,7225
rafard,3542107,1003.9,1513.98,1094.93,8965,9049.0,9133
rancharia,3542206,1972.86,1955.3,1846.1,28588,28947.0,29305
redencao da serra,3542305,1112.59,1054.25,1236.17,4494,4553.0,4611
regente feijo,3542404,1523.95,1424.71,1419.89,20145,20355.0,20565
reginopolis,3542503,796.14,969.62,1063.01,7662,7735.0,7808
registro,3542602,1903.35,1862.26,1927.69,59947,60840.0,61732
restinga,3542701,2108.06,2078.16,1571.16,6404,6448.0,6492
ribeira,3542800,989.78,920.93,1231.84,3132,3149.0,3166
ribeirao bonito,3542909,1665.3,1277.87,1435.15,10989,11034.0,11079
ribeirao branco,3543006,885.81,894.62,1204.44,18627,18779.0,18930
ribeirao corrente,3543105,1302.08,2576.77,2974.93,4608,4657.0,4706
ribeirao do sul,3543204,1004.92,1016.3,1363.26,4677,4723.0,4768
ribeirao dos indios,3543238,691.36,540.54,831.3,2025,2035.0,2045
ribeirao grande,3543253,697.99,905.46,594.45,7450,7510.0,7570
ribeirao pires,3543303,1632.93,1700.25,1364.44,115559,117218.0,118877
ribeirao preto,3543402,2554.53,2571.33,2450.58,698642,713521.0,728400
rifaina,3543600,3013.09,4117.93,3631.55,4049,4104.0,4158
rincao,3543709,2758.85,2126.73,1760.52,9098,9122.0,9145
rinopolis,3543808,1188.03,1461.11,812.23,9259,9308.0,9357
rio claro,3543907,2525.59,2417.88,2530.44,201418,205138.0,208857
rio das pedras,3544004,1292.77,1556.7,1484.49,31328,31798.0,32267
rio grande da serra,3544103,1256.51,1443.77,1266.63,44170,44744.0,45317
riolandia,3544202,1610.24,1541.28,2095.09,10309,10381.0,10453
riversul,3543501,1250.22,1547.22,920.84,5599,5623.0,5647
rosana,3544251,1215.6,1503.97,1385.96,17440,17487.0,17533
roseira,3544301,1744.83,1815.03,1856.69,10832,10964.0,11095
rubiacea,3544400,1444.44,1359.79,583.73,2700,2721.0,2741
rubineia,3544509,939.21,1615.8,1614.12,3833,3899.0,3965
sabino,3544608,3071.21,2816.08,3027.97,5112,5149.0,5185
sagres,3544707,1131.77,1281.54,913.06,2474,2497.0,2519
sales,3544806,1802.08,1931.03,2434.97,6437,6525.0,6612
sales oliveira,3544905,1349.57,1361.31,1681.83,11411,11533.0,11654
salesopolis,3545001,1420.87,1621.02,1519.88,15202,15299.0,15396
salmourao,3545100,915.14,1382.58,1331.15,4808,4846.0,4883
saltinho,3545159,1127.31,1028.31,1015.41,8161,8266.0,8371
salto,3545209,1045.27,1209.72,1170.38,134319,137222.0,140125
salto de pirapora,3545308,1380.63,1543.55,1344.76,43748,44443.0,45138
salto grande,3545407,2254.14,2869.35,2105.95,9050,9131.0,9212
sandovalina,3545506,1700.96,1552.29,1324.68,3645,3672.0,3699
santa adelia,3545605,1276.93,1870.88,1563.05,14018,14111.0,14203
santa albertina,3545704,891.6,896.72,932.29,6393,6468.0,6543
santa barbara doeste,3545803,1773.14,1943.19,1743.97,183347,186343.0,189338
santa branca,3546009,1466.91,1858.95,1555.02,13975,14094.0,14212
santa clara doeste,3546108,1385.68,1250.95,1120.66,2598,2638.0,2677
santa cruz da conceicao,3546207,1800.33,1643.14,1534.94,4277,4321.0,4365
santa cruz da esperanca,3546256,1181.47,1449.28,1480.11,2116,2139.0,2162
santa cruz das palmeiras,3546306,1749.58,1781.13,1808.64,28864,29195.0,29525
santa cruz do rio pardo,3546405,1884.07,1967.7,1998.87,46442,47060.0,47677
santa ernestina,3546504,1536.45,2004.2,815.22,6118,6187.0,6256
santa fe do sul,3546603,2417.08,2240.03,2174.64,34794,35446.0,36098
santa gertrudes,3546702,1571.3,1768.72,1563.86,23611,23859.0,24107
santa isabel,3546801,1412.34,1655.53,1212.77,53174,53880.0,54586
santa lucia,3546900,965.17,1688.76,1490.04,7149,7165.0,7181
santa maria da serra,3547007,1621.21,1591.21,1900.64,5243,5279.0,5314
santa mercedes,3547106,1082.54,837.8,1029.22,2956,2984.0,3012
santa rita do passa quatro,3547502,1779.89,1763.74,1715.88,24833,24947.0,25060
santa rita doeste,3547403,914.75,760.32,501.79,2733,2762.0,2790
santa rosa de viterbo,3547601,1307.08,1608.11,1483.67,23411,23568.0,23725
santa salete,3547650,1823.71,1260.5,830.37,1645,1666.0,1686
santana da ponte pensa,3547205,1856.29,1068.88,1472.32,1670,1684.0,1698
santana de parnaiba,3547304,1184.91,1281.1,1254.15,154105,158223.0,162341
santo anastacio,3547700,829.48,1044.21,1235.8,17963,18004.0,18045
santo andre,3547809,3487.43,3340.47,3115.4,748919,763815.0,778711
santo antonio da alegria,3547908,2036.9,2322.52,1980.63,6775,6846.0,6917
santo antonio de posse,3548005,1574.6,1735.28,1774.68,23244,23512.0,23779
santo antonio do aracangua,3548054,1456.02,1203.68,1447.25,8379,8474.0,8568
santo antonio do jardim,3548104,1322.23,1779.36,1314.73,6126,6182.0,6237
santo antonio do pinhal,3548203,1514.09,1677.29,1672.61,7133,7214.0,7294
santo expedito,3548302,1966.67,1517.15,1403.85,3000,3032.0,3063
santopolis do aguapei,3548401,1564.5,1455.57,1627.26,3899,3916.0,3933
santos,3548500,2673.38,3077.66,2633.81,418608,424088.0,429567
sao bento do sapucai,3548609,873.74,1075.27,761.63,11674,11811.0,11948
sao bernardo do campo,3548708,2838.8,2539.93,2334.33,810729,825614.0,840499
sao caetano do sul,3548807,2487.1,2425.95,2181.76,165655,168882.0,172109
sao carlos,3548906,2355.83,2172.06,2009.47,254857,260076.0,265294
sao francisco,3549003,1114.53,1337.92,1065.04,2602,2616.0,2629
sao joao da boa vista,3549102,1793.68,1905.37,1945.45,92547,94155.0,95762
sao joao das duas pontes,3549201,1395.35,807.38,915.33,2580,2601.0,2622
sao joao de iracema,3549250,704.23,751.48,851.06,1846,1863.0,1880
sao joao do pau dalho,3549300,535.24,662.25,699.3,2242,2265.0,2288
sao joaquim da barra,3549409,1989.37,2315.65,2774.26,48558,49187.0,49815
sao jose da bela vista,3549508,1783.37,2206.84,2197.66,7626,7658.0,7690
sao jose do barreiro,3549607,908.38,1264.19,1667.52,3853,3876.0,3898
sao jose do rio pardo,3549706,1731.63,1715.55,1460.24,52205,52811.0,53416
sao jose do rio preto,3549805,2951.75,2854.61,2669.07,480393,490995.0,501597
sao jose dos campos,3549904,1685.24,1782.09,1536.79,697054,710905.0,724756
sao lourenco da serra,3549953,1860.96,2465.72,2053.71,16067,16263.0,16458
sao luiz do paraitinga,3550001,1064.14,1247.96,1295.61,10337,10417.0,10497
sao manuel,3550100,2059.59,1781.17,1946.76,37289,37728.0,38166
sao miguel arcanjo,3550209,1204.78,1447.4,969.49,32039,32472.0,32904
sao paulo,3550308,4253.86,4296.39,4009.75,11451999,1.1673789E7,11895578
sao pedro,3550407,1361.88,1372.11,1354.31,38256,38991.0,39725
sao pedro do turvo,3550506,1496.47,1828.18,1922.81,7217,7275.0,7333
sao roque,3550605,1480.8,1625.36,1689.16,79484,80413.0,81342
sao sebastiao,3550704,2388.63,2241.36,2294.72,81595,82807.0,84019
sao sebastiao da grama,3550803,1254.67,1290.26,1001.53,10441,10463.0,10484
sao simao,3550902,1956.55,2071.62,1876.38,13442,13516.0,13590
sao vicente,3551009,2672.84,3126.06,2859.28,329911,334159.0,338407
sarapui,3551108,1427.33,1409.39,1909.33,10369,10501.0,10632
sarutaia,3551207,1484.88,2542.15,1698.06,3704,3737.0,3769
sebastianopolis do sul,3551306,990.42,1297.88,721.68,3130,3159.0,3187
serra azul,3551405,1600.5,1495.89,1753.71,12746,12902.0,13058
serra negra,3551603,1174.15,1673.96,1642.95,29894,30407.0,30920
serrana,3551504,1673.92,1679.39,1634.07,43909,44659.0,45408
sertaozinho,3551702,1590.39,1601.62,1706.69,126887,129244.0,131600
sete barras,3551801,2011.0,1661.34,1734.82,12730,12821.0,12912
severinia,3551900,1255.49,1242.32,1446.62,14576,14650.0,14724
silveiras,3552007,905.27,1072.0,792.02,6186,6250.0,6313
socorro,3552106,1054.28,1138.26,1292.11,40122,40764.0,41405
sorocaba,3552205,2102.03,2287.96,2160.25,723682,740571.0,757459
sud mennucci,3552304,1454.79,1497.77,1674.26,7355,7411.0,7466
sumare,3552403,2027.22,2141.11,1996.98,279545,284666.0,289787
suzanapolis,3552551,1525.82,1484.28,1703.23,3408,3436.0,3464
suzano,3552502,2490.33,2477.19,2302.01,307429,313097.0,318765
tabapua,3552601,1554.36,1288.23,1304.46,11323,11411.0,11499
tabatinga,3552700,2031.28,1666.44,1587.3,14769,14882.0,14994
taboao da serra,3552809,2035.88,2270.28,2290.04,273542,278908.0,284274
taciba,3552908,1054.31,1105.85,1093.92,6260,6330.0,6399
taguai,3553005,1452.36,1074.93,1576.2,12669,12838.0,13006
taiacu,3553104,2096.18,1295.06,1912.71,5677,5714.0,5751
taiuva,3553203,1511.91,1520.86,1203.03,6548,6641.0,6733
tambau,3553302,1824.12,1869.29,2001.66,21435,21559.0,21682
tanabi,3553401,2853.75,2320.32,2278.93,25265,25643.0,26021
tapirai,3553500,1575.79,1216.03,1157.35,7996,8059.0,8122
tapiratiba,3553609,1125.59,1473.56,1231.57,11816,11876.0,11936
taquaral,3553658,1680.03,2314.11,1395.17,2619,2636.0,2652
taquaritinga,3553708,2146.96,2055.27,2182.96,52260,52791.0,53322
taquarituba,3553807,1868.58,1609.3,1612.84,24350,24607.0,24863
taquarivai,3553856,959.86,1043.75,1138.92,6876,6994.0,7112
tarabai,3553906,1759.49,1320.98,1371.51,6536,6586.0,6635
taruma,3553955,1357.34,1360.77,1324.76,14882,15065.0,15248
tatui,3554003,1585.42,1369.49,1570.47,123942,126251.0,128560
taubate,3554102,1991.38,2030.57,1925.94,310739,316019.0,321298
tejupa,3554201,1356.92,1330.11,1062.29,4127,4135.0,4142
teodoro sampaio,3554300,1740.86,1783.96,1742.1,22173,22366.0,22559
terra roxa,3554409,1619.43,1384.52,1227.3,7904,7945.0,7985
tiete,3554508,1542.63,1286.11,1238.05,37663,38177.0,38690
timburi,3554607,1298.7,726.69,1204.82,2464,2477.0,2490
torre de pedra,3554656,830.89,924.57,533.2,2046,2055.0,2063
torrinha,3554706,1403.32,1360.26,1718.68,9335,9410.0,9484
trabiju,3554755,2199.76,2057.61,2210.59,1682,1701.0,1719
tremembe,3554805,1104.1,1373.54,1507.07,51173,52128.0,53083
tres fronteiras,3554904,1660.79,1751.34,1540.0,6804,6909.0,7013
tuiuti,3554953,1740.93,1981.64,1468.26,6778,6863.0,6947
tupa,3555000,2341.7,2427.63,2117.22,63928,64672.0,65416
tupi paulista,3555109,1097.51,1266.38,1240.28,15854,16030.0,16206
turiuba,3555208,1870.19,1640.24,1794.45,1818,1829.0,1839
turmalina,3555307,958.66,1137.04,1734.45,1669,1671.0,1672
ubarana,3555356,2497.67,1626.32,2126.1,5365,5411.0,5456
ubatuba,3555406,3056.54,2923.3,2516.62,92981,94790.0,96598
ubirajara,3555505,1422.45,1404.12,1823.36,5132,5199.0,5265
uchoa,3555604,1385.41,1246.31,1176.25,10394,10511.0,10627
uniao paulista,3555703,1060.51,1051.98,1289.93,1603,1616.0,1628
urania,3555802,1528.36,1381.56,1627.1,8833,8903.0,8973
uru,3555901,1297.76,1568.07,2184.64,1387,1403.0,1419
urupes,3556008,1433.35,1410.99,1488.82,13744,13891.0,14038
valentim gentil,3556107,1659.81,1285.37,1486.48,14098,14315.0,14531
valinhos,3556206,1426.73,1588.2,1462.56,126373,128825.0,131277
valparaiso,3556305,1419.08,1515.4,1468.27,24241,24482.0,24723
vargem,3556354,1664.76,1529.22,1462.29,10512,10659.0,10805
vargem grande do sul,3556404,2122.94,1799.41,1731.92,40133,40680.0,41226
vargem grande paulista,3556453,1584.85,1589.96,1485.52,50415,51259.0,52103
varzea paulista,3556503,1712.0,1645.22,1636.62,115771,117674.0,119576
vera cruz,3556602,2790.88,1621.89,1340.59,10176,10235.0,10294
vinhedo,3556701,1416.25,1645.95,1566.23,76540,77888.0,79235
viradouro,3556800,1418.4,1396.17,1317.8,17414,17548.0,17681
vista alegre do alto,3556909,1245.53,912.63,528.4,8109,8218.0,8327
vitoria brasil,3556958,1505.02,1160.22,1423.88,1794,1810.0,1826
votorantim,3557006,1436.8,1461.81,1307.5,127923,130386.0,132849
votuporanga,3557105,2751.62,2637.28,2449.11,96634,98397.0,100159
zacarias,3557154,1597.33,1796.85,1122.78,2692,2727.0,2761
