municipio,codigo_ibge,taxa_100k_22,taxa_100k_23,taxa_100k_24,populacao_22,populacao_23,populacao_24
brodowski,3507803,1452.32,1518.46,1276.42,25201,25684.0,26167
brotas,3507902,1862.08,1651.42,1707.41,23898,24161.0,24423
buri,3508009,1402.47,1339.07,1417.24,20250,20462.0,20674
buritama,3508108,2347.47,1626.06,1295.68,17210,17404.0,17597
buritizal,3508207,1905.42,2089.96,2203.73,4356,4402.0,4447
cabralia paulista,3508306,1442.2,1800.97,1719.39,4299,4331.0,4362
cabreuva,3508405,1389.04,1449.46,1301.76,47011,47742.0,48473
cacapava,3508504,1764.0,1808.25,1917.17,96202,97940.0,99678
cachoeira paulista,3508603,1542.9,1355.28,1428.48,31564,32023.0,32482
caconde,3508702,1309.86,1449.02,1384.22,17101,17184.0,17266
cafelandia,3508801,1609.22,1382.6,1407.87,16654,16780.0,16905
caiabu,3508900,835.13,1072.67,934.58,3712,3729.0,3745
caieiras,3509007,1490.02,1647.27,1586.66,95032,96645.0,98257
caiua,3509106,951.34,1049.58,931.07,5466,5526.0,5585
cajamar,3509205,2184.73,2011.03,2151.74,92689,95026.0,97363
cajati,3509254,1809.57,1921.35,2187.51,28515,28886.0,29257
cajobi,3509304,1160.63,1382.99,1830.59,9133,9183.0,9232
cajuru,3509403,2228.28,2222.78,2147.25,23830,24024.0,24217
campina do monte alegre,3509452,1377.23,1612.37,1546.82,5954,6016.0,6077
campinas,3509502,3036.22,3151.11,2937.83,1139047,1162512.0,1185977
campo limpo paulista,3509601,2003.04,2087.78,1885.44,77632,78648.0,79663
campos do jordao,3509700,2173.54,2200.97,1988.2,46974,47479.0,47983
campos novos paulista,3509809,1329.79,1740.89,1162.09,4888,4940.0,4991
cananeia,3509908,2018.06,2792.8,2410.12,12289,12389.0,12489
canas,3509957,2149.67,1823.65,2337.1,4931,4990.0,5049
candido mota,3510005,1704.64,1747.68,1826.2,29449,29811.0,30172
candido rodrigues,3510104,2180.69,1849.32,2609.28,2889,2920.0,2951
canitar,3510153,2212.32,1873.83,1900.67,6283,6404.0,6524
capao bonito,3510203,1804.17,1847.66,1702.42,46337,46870.0,47403
capela do alto,3510302,1486.92,1252.58,1610.37,22866,23232.0,23597
capivari,3510401,1470.0,1731.99,1742.08,50068,50693.0,51318
caraguatatuba,3510500,2489.75,2509.08,2538.91,134873,137979.0,141084
carapicuiba,3510609,2192.34,2336.0,2266.97,386984,392723.0,398462
cardoso,3510708,2185.99,2408.48,1871.03,11345,11418.0,11491
casa branca,3510807,1937.11,1892.03,2032.24,28083,28435.0,28786
cassia dos coqueiros,3510906,964.63,778.21,1295.97,2799,2827.0,2855
castilho,3511003,1737.0,1955.64,1611.32,19977,20198.0,20418
catanduva,3511102,2143.52,2132.24,2076.83,115791,117482.0,119172
catigua,3511201,1413.68,1275.87,1604.5,7003,7054.0,7105
cedral,3511300,1783.17,1745.67,1512.16,12618,12889.0,13160
cerqueira cesar,3511409,1891.1,1860.1,2070.12,21469,21773.0,22076
