Município [-],Código [-],Gentílico [-],Prefeito [2025],Área Territorial - km² [2023],População no último censo - pessoas [2022],Densidade demográfica - hab/km² [2022],População estimada - pessoas [2024],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2023],Total de despesas brutas empenhadas - R$ [2023],PIB per capita - R$ [2021]
Angatuba,3502200,angatubense,NICOLAS BASILE ROCHEL,1027.288,24022,23.38,24512,98.3,0.719,9.35,155271492.3,162126152.7,57306.48
Anhembi,3502309,anhembiense,JAIRO DE GÓIS,736.557,5674,7.7,5766,97.2,0.721,30.3,55836417.23,55483602.5,24534.54
Anhumas,3502408,anhumense,ADAILTON CESAR MENOSSI,320.84,4023,12.54,4108,98.3,0.741,20,40830605.04,37562789.05,25316.58
Aparecida,3502507,aparecidense,JOSE LUIZ RODRIGUES,120.89,32569,269.41,33223,98.4,0.755,12.23,204394077.7,213536197.2,28750.03
Aparecida d'Oeste,3502606,aparecidense,IZAIAS APARECIDO SANCHEZ,179.004,4086,22.83,4124,97.7,0.721,-,37925299.92,38866903.62,36763.62
Apiaí,3502705,apiaiense,SERGIO VICTOR BORGES BARBOSA,974.322,24585,25.23,24886,97.3,0.71,-,131510593.3,121039914.4,37278.88
Araçariguama,3502754,araçariguamense,RODRIGO DE ANDRADE,145.204,21522,148.22,22168,98.2,0.704,14.2,221444693.1,236492356.3,206250.44
Araçatuba,3502804,araçatubense,LUCAS PAVAN ZANATTA,1167.126,200124,171.47,207775,97.6,0.788,13.91,979569762.4,859862855.6,45268.6
Araçoiaba da Serra,3502903,araçoiabano,JOSÉ CARLOS DE QUEVEDO JUNIOR,255.305,32443,127.08,33656,99.4,0.776,-,204561589,219710112,34075.1
Aramina,3503000,araminense,LUIS SÉRGIO CELESTE JORGE,202.829,5420,26.72,5526,98.7,0.74,33.33,40486505.88,41531394.88,26415.31
Arandu,3503109,aranduense,FLAVIO CARLOMAGNO GALHEGO,285.908,6885,24.08,7050,98.4,0.685,25.97,53197142.55,58076898.12,30569.27
Arapeí,3503158,arapeiense,RENÊ LÚCIO GONÇALVES,156.903,2330,14.85,2355,98.7,0.68,-,37002710.98,39819289.79,18584.03
Araraquara,3503208,araraquarense,LUIS CLAUDIO LAPENA BARRETO,1003.625,242228,241.35,252318,98.7,0.815,6.4,1536427549,1521074816,49692.93
Araras,3503307,ararense,IRINEU NORIVAL MARETTO,644.831,130866,202.95,135331,97.5,0.781,9.76,855202935.9,892353253.2,50772.4
