codigo_ibge,pop_censo_22,pop_estimada_24,municipio
3536257,2892,3001,parisi
3533403,62019,64228,nova odessa
3541802,3265,3351,queiroz
3552106,40122,41405,socorro
3511508,44695,46217,cerquilho
3538808,29436,30261,piraju
3517802,7441,7486,guaracai
3530904,3722,3815,mombuca
3518602,37498,38609,guariba
3536901,2787,2848,pedranopolis
3538303,3264,3296,piquerobi
3540754,20392,20767,potim
3555505,5132,5265,ubirajara
3531704,4138,4205,monteiro lobato
3544202,10309,10453,riolandia
3545100,4808,4883,salmourao
3501103,3841,3883,alto alegre
3509254,28515,29257,cajati
3527207,84855,87370,lorena
3509700,46974,47983,campos do jordao
3516309,165139,171107,francisco morato
3525508,12815,13095,joanopolis
3528106,7481,7587,macaubal
3537008,15525,15742,pedregulho
3524303,71821,73467,jaboticabal
3532207,5713,5908,narandiba
3517505,21711,22316,guapiacu
3502309,5674,5766,anhembi
3502804,200124,207775,aracatuba
3514908,17699,18103,elias fausto
3520509,255748,267796,indaiatuba
3500808,4445,4556,alfredo marcondes
3523404,121590,126403,itatiba
3525607,4371,4456,joao ramalho
3526308,5083,5182,lagoinha
3547650,1645,1686,santa salete
3557204,12211,12411,chavantes
3514106,24510,24855,dois corregos
3535903,4031,4111,paranapua
3506300,11607,11852,bernardino de campos
3513009,274413,287004,cotia
3528858,3292,3392,marapoama
3529708,19441,19655,miguelopolis
3554409,7904,7985,terra roxa
3556909,8109,8327,vista alegre do alto
3508108,17210,17597,buritama
3509304,9133,9232,cajobi
3537107,43112,44332,pedreira
3545209,134319,140125,salto
3549904,697054,724756,sao jose dos campos
3500709,37680,38879,agudos
3539608,4389,4454,planalto
3550308,11451999,11895578,sao paulo
3520400,34934,36329,ilhabela
3528403,50027,51660,mairinque
3512803,59773,61204,cosmopolis
3534302,38319,39193,orlandia
3555802,8833,8973,urania
3501806,5870,5975,americo de campos
3510500,134873,141084,caraguatatuba
3511706,15535,15798,charqueada
3513850,1620,1641,dirce reis
3534757,10294,10596,ouroeste
3540200,37607,38376,pontal
3546900,7149,7181,santa lucia
3503109,6885,7050,arandu
3513801,393237,404118,diadema
3549805,480393,501597,sao jose do rio preto
3515202,9417,9655,estrela doeste
3537909,27619,28417,pilar do sul
3548807,165655,172109,sao caetano do sul
3552403,279545,289787,sumare
3553856,6876,7112,taquarivai
3518701,287634,294973,guaruja
3522000,3618,3702,itaju
3523305,15528,15762,itariri
3532009,13720,14081,morungaba
3530706,153658,159735,mogi guacu
3510708,11345,11491,cardoso
3517307,5512,5606,guaimbe
3521903,16989,17420,itajobi
3524808,48776,50017,jales
3542008,7038,7225,quintana
3509403,23830,24217,cajuru
3534005,4771,4912,onda verde
3538600,26029,26764,piracaia
3541505,35201,35902,presidente venceslau
3545704,6393,6543,santa albertina
3502200,24022,24512,angatuba
3517604,17071,17256,guapiara
3544707,2474,2519,sagres
3548609,11674,11948,sao bento do sapucai
3514924,3138,3189,elisiario
3510104,2889,2951,candido rodrigues
3520905,13712,13933,ipaussu
3542503,7662,7808,reginopolis
3544608,5112,5185,sabino
3547502,24833,25060,santa rita do passa quatro
3555109,15854,16206,tupi paulista
3520707,4035,4109,indiapora
3524204,6221,6293,jaborandi
3545407,9050,9212,salto grande
3552502,307429,318765,suzano
3509452,5954,6077,campina do monte alegre
3509601,77632,79663,campo limpo paulista
3546801,53174,54586,santa isabel
3515129,3014,3062,emilianopolis
3528304,3165,3212,magda
3505401,6876,6922,barra do turvo
3508603,31564,32482,cachoeira paulista
3521309,14454,14691,ipua
3521101,6831,6999,ipeuna
3532868,1062,1074,nova castilho
3533809,2512,2540,oleo
3551504,43909,45408,serrana
3507456,2713,2787,borebi
3511409,21469,22076,cerqueira cesar
3540002,20196,20512,pompeia
3549607,3853,3898,sao jose do barreiro
3513702,31756,32622,descalvado
3516903,10312,10449,general salgado
3520103,26212,26755,igarapava
3532157,2660,2699,nantes
3522802,14085,14260,itaporanga
3500907,3451,3479,altair
3509106,5466,5585,caiua
3532900,9311,9459,nova europa
3544509,3833,3965,rubineia
3532702,4750,4860,nipoa
3537404,24095,24389,pereira barreto
3536406,7955,8200,pauliceia
3524501,7613,7878,jaci
3538709,423323,438827,piracicaba
3557105,96634,100159,votuporanga
3504107,158647,166043,atibaia
3524709,59347,61801,jaguariuna
3531407,22280,22650,monte aprazivel
3532058,4034,4079,motuca
3533254,4412,4469,novais
3540853,2578,2599,pracinha
3556008,13744,14038,urupes
3513900,11158,11314,divinolandia
3539202,25348,26065,pirapozinho
3556958,1794,1826,vitoria brasil
3506003,379146,391740,bauru
3540507,10451,10773,porangaba
3515301,2703,2749,estrela do norte
